glycan_id,glycan,species,label,inferred_origin,link,source,Unnamed: 0.1,ID,Link,Species_x,split,name,Unnamed: 0,Species_y,Genus,Family,Order,Class,Phylum,Kingdom,Domain,ref,glytoucan_id,glycan_type,disease_association,disease_id,disease_sample,disease_direction,disease_ref,disease_species,tissue_sample,tissue_id,tissue_ref,tissue_species,Composition
33.0,ManOP(a1-2)Man(a1-3)[Man(a1-3)Man(a1-6)]Man(b1-4)GlcNAc(b1-4)GlcNAc,['Homo_sapiens'],0.0,,N,glycobase.csv,,,,,,,12400.0,['Homo_sapiens'],['Homo'],['Hominidae'],['Primates'],['Mammalia'],['Chordata'],['Animalia'],['Eukarya'],[''],,N,[],[],[],[],[],[],[],[],[],[],"{'Hex': 5, 'HexNAc': 2, 'P': 1}"
35.0,Rha(a1-2)Rha(a1-3)Rha(b1-4)Rha,"['Burkholderia_vietnamiensis', 'Xanthomonas_axonopodis', 'Xanthomonas_citri']",1.0,,,glycobase.csv,,,,,,,1834.0,"['Burkholderia_vietnamiensis', 'Xanthomonas_axonopodis', 'Xanthomonas_citri']","['Burkholderia', 'Xanthomonas', 'Xanthomonas']","['Burkholderiaceae', 'Xanthomonadaceae', 'Xanthomonadaceae']","['Burkholderiales', 'Xanthomonadales', 'Xanthomonadales']","['Betaproteobacteria', 'Gammaproteobacteria', 'Gammaproteobacteria']","['Proteobacteria', 'Proteobacteria', 'Proteobacteria']","['Bacteria', 'Bacteria', 'Bacteria']","['Bacteria', 'Bacteria', 'Bacteria']","['https://pubs.rsc.org/en/content/articlelanding/2018/np/c8np00046h#!divAbstract', '', 'https://pubmed.ncbi.nlm.nih.gov/28186388/']",,repeat,[],[],[],[],[],[],[],[],[],[],{'dHex': 4}
46.0,FucNAc(a1-3)QuiNAcNBut(b1-4)FucNAc,['Plesiomonas_shigelloides'],1.0,,,glycobase.csv,,,,,,,16897.0,['Plesiomonas_shigelloides'],['Plesiomonas'],['Enterobacteriaceae'],['Enterobacterales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],[''],,,[],[],[],[],[],[],[],[],[],[],{}
66.0,[Col(a1-2)]Gal(b1-3)[Col(a1-4)]GlcNAc(b1-4)GalA(a1-3)QuiNAc,['Vibrio_cholerae'],1.0,,,glycobase.csv,,,,,,,21288.0,['Vibrio_cholerae'],['Vibrio'],['Vibrionaceae'],['Vibrionales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],[''],,repeat,[],[],[],[],[],[],[],[],[],[],{}
77.0,GalNAc(a1-4)ManNAcA(b1-6)GalNAc,['Azospirillum_brasilense'],1.0,,,glycobase.csv,,,,,,,5850.0,['Azospirillum_brasilense'],['Azospirillum'],['Rhodospirillaceae'],['Rhodospirillales'],['Alphaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],[''],,,[],[],[],[],[],[],[],[],[],[],{'HexNAc': 3}
78.0,QuiNAlaAc(b1-4)GalNAcA(a1-4)GalOAc(a1-2)QuiNAlaAc,['Pseudoalteromonas_haloplanktis'],1.0,,,glycobase.csv,,,,,,,17478.0,['Pseudoalteromonas_haloplanktis'],['Pseudoalteromonas'],['Pseudoalteromonadaceae'],['Alteromonadales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],[''],,,[],[],[],[],[],[],[],[],[],[],{}
82.0,Ribf(b1-6)Glc(a1-2)Ribf,['Burkholderia_cepacia'],1.0,,,glycobase.csv,,,,,,,6832.0,['Burkholderia_cepacia'],['Burkholderia'],['Burkholderiaceae'],['Burkholderiales'],['Betaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],['https://pubs.rsc.org/en/content/articlelanding/2018/np/c8np00046h#!divAbstract'],,,[],[],[],[],[],[],[],[],[],[],{}
124.0,NeuNAc(a2-3)Gal(b1-4)GlcNAc(b1-2)Man(a1-6)[Fuc(a1-3)[Gal(b1-4)]GlcNAc(b1-2)Man(a1-3)]Man(b1-4)GlcNAc(b1-4)[Fuc(a1-6)]GlcNAc,['Homo_sapiens'],0.0,,N,glycobase.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129.0,Gal(b1-3)Gal(b1-3)GalNAc(b1-4)Gal,['Mannheimia_haemolytica'],1.0,,,glycobase.csv,,,,,,,14949.0,['Mannheimia_haemolytica'],['Mannheimia'],['Pasteurellaceae'],['Pasteurellales'],['Gammaproteobacteria'],['Proteobacteria'],['Bacteria'],['Bacteria'],[''],,,[],[],[],[],[],[],[],[],[],[],"{'Hex': 3, 'HexNAc': 1}"
161.0,Ribf(b1-4)GalNAc(a1-2)Ribf,"['Burkholderia_cenocepacia', 'Burkholderia_cepacia']",1.0,,,glycobase.csv,,,,,,,2875.0,"['Burkholderia_cenocepacia', 'Burkholderia_cepacia']","['Burkholderia', 'Burkholderia']","['Burkholderiaceae', 'Burkholderiaceae']","['Burkholderiales', 'Burkholderiales']","['Betaproteobacteria', 'Betaproteobacteria']","['Proteobacteria', 'Proteobacteria']","['Bacteria', 'Bacteria']","['Bacteria', 'Bacteria']","['https://pubs.rsc.org/en/content/articlelanding/2018/np/c8np00046h#!divAbstract', 'https://pubs.rsc.org/en/content/articlelanding/2018/np/c8np00046h#!divAbstract']",,,[],[],[],[],[],[],[],[],[],[],{}
