glycan,Species,Genus,Family,Order,Class,Phylum,Kingdom,Domain,ref
8eLeg5Ac7Ac(a2-6)Gal(a1-3)FucNAc(a1-3)GlcNAc(a1-4)8eLeg5Ac7Ac,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/31778182/
8eLeg5Ac7Ac8Ac(a2-4)Glc(b1-3)GalNAc(a1-4)8eLeg5Ac7Ac8Ac,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/31778182/
AltNAcA(a1-3)D-FucNAc4N(b1-4)AltNAcA,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
Ara1P4N(b1-4)GlcN2Myr3Myr(b1-6)GlcN1PPEtN2Myr3Myr,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/29321776/
Col(a1-3)[Col(a1-6)]Glc(a1-4)Gal(a1-3)GlcNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/23447496/
Col(a1-3)[Col(a1-6)]Glc(a1-4)Gal(a1-3)GlcNAc(b1-4)Glc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
D-4dThrHexA4en(b1-3)GlcNAc(b1-4)GlcA(b1-3)GlcNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
D-Fuc3NBut(a1-3)Man(a1-3)Fuc(a1-3)GalNAc(a1-2)D-Fuc3NBut,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/27710814/
D-Fuc3NBut(a1-3)Man6Ac(a1-3)Fuc(a1-3)GalNAc(a1-2)D-Fuc3NBut,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/31778182/
D-FucNAc(a1-2)Rha(a1-2)Rha(a1-3)Rha(b1-4)GlcNAc1PP,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/28324143/
D-FucNAc(a1-4)ManA2NAc(b1-4)GlcNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
D-FucNAc(a1-4)ManAOAc(b1-4)GlcNAc(a1-3)D-FucNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
D-FucNAc(a1-4)ManNAc(b1-4)GlcNAc(a1-3)D-FucNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
D-FucNAc(a1-4)ManNAcA(b1-4)GlcNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
D-FucNAc(a1-4)ManNAcA(b1-4)GlcNAc(a1-3)D-FucNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/27357519/
D-FucNAc(b1-3)GlcNAc(a1-4)GlcA(a1-3)Man(a1-2)Man(a1-3)GlcNAc(b1-2)D-FucNAc,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,https://pubmed.ncbi.nlm.nih.gov/31778182/
D-Fucf(b1-3)D-6dManHep(b1-3)D-Fucf,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
D-Fucf(b1-3)D-6dManHepOAc(b1-3)D-Fucf,Escherichia_coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,Bacteria,
